country,description,variety
Germany,"Intensely earthy notes of honey and wax, and just the faintest whiff of petrol, are enticing precursors of maturity within an otherwise delightfully fresh, fruity Riesling. It's delicately crisp on the palate, but ends with a long, lanolin-coated finish.",Riesling
Germany,"Smoky and dark with violet and heather tones, there's a sexy subtlety to this complex, shadowy wine. The palate is bright and sunny with ripe fruit flavor, but it's quite dry in style, with an intense shower of crushed minerals and lime acidity that penetrate the finish.",Riesling
Germany,"Dry and steely in focus, yet ebulliently fruity and floral on the nose and palate, there's so much dimension to this fantastic Riesling. Intensely ripe stonefruit flavors leave an irresistible glycerine slick on the palate, but it finishes clean with a shower of crushed-stone minerality and steel.",Riesling
Germany,"This stunning Riesling is a showcase of Riesling's incredible propensity for dimension and harmony, balancing fruit and earth notes with an array of exotic spice. It's juicy and ripe with sweet stonefruit flavor, but shines with piercing acidity and minerality.",Riesling
Germany,"There's so much ripe, lush peach and quince flavor in this intensely concentrated Riesling, but the palate is dry and nuanced. Fruit melds into layers of crushed slate, ash, and herbal green notes, finishing long with a hint of smoky petrol.",Riesling
Germany,"While delicate and demure, this light-bodied Pinot Noir rosé revitalizes the palate with a crush of mineral intensity. Whispers of blossom and strawberry peek through a moderately long finish.",Rosé
Germany,"This honeyed spicy Spätlese seems straightforward in fruit, but its racy, nerve-tingling energy is electrifying. Fresh apple and pears are revitalized by streaks of lemon, lime and grapefruit that linger through a moderately long finish.",Riesling
Germany,"Lime zest and freshly cut grass lend a particularly invigorating cool to this dry, delicate Riesling. It's brashly mineral on the palate, finishing tightly with a bracing shower of acidity.",Riesling
Germany,"Rich and unctuous in concentration, this powerful auslese is chock full of honeysuckle nectar and yellow peach flavors. Striking lemon-lime acidity and a deep, dusty mineral vein lend gravitas and complexity.",Riesling
Germany,"A standout amidst a stellar lineup of 2013 Rheingau auslese, this deeply concentrated, complex Riesling is a kaleidescope of sensory offerings. Pretty white floral notes perfume swathes of marmalade and crushed minerals. It's unctuous yet spine tingling, lithe yet endlessly penetrating on the finish.",Riesling
Germany,"Dusty earth and mineral tones lend contrast to sweet, sunny tangerine and caramel in this feather-light TBA. The palate is persistent and pristine, awash in stone fruit flavors that pierce with laser-like brilliance. Delectable now for it's youth and fruitiness, but likely to develop mineral complexities for decades to come.",Riesling
Germany,"Perfumed florals mingle curiously with deep, dusty mineral notes on this bracing TBA. Sunny nectarine and tangerine flavors are mouthwatering and juicy, struck with acidity, then plunged into pools of sweet honey and nectar. It's a delightful sensory roller coaster that feels endless on the finish.",Riesling
Germany,"Wet slate and chalk penetrate through silken layers of honey, fig and dried apricot in this decadent beerenauslese. It's intensely concentrated in fruit, but also racy and taut, finishing with a flair of rose petals and pink grapefruit. Stunning now, but structured enough to develop beautifully for decades.",Riesling
Germany,"This honeyed spicy Spätlese seems straightforward in fruit, but its racy, nerve-tingling energy is electrifying. Fresh apple and pears are revitalized by streaks of lemon, lime and grapefruit that linger through a moderately long finish.",Riesling
Germany,"Pressed apple and pears are dusted in pollen and saffron in this earth-toned Spätlese. Delicately sweet honey tones brighten the midpalate, accompanied by bracing lemonade acidity. The finish is moderately long, marked by a lingering touch of dried herbs.",Riesling
Germany,"This is an intensely minerally, dry Riesling that showcases an array of crushed stone and earth elements against a backdrop of heather floral and yellow stonefruit flavors. It's richly textured and finishes long with a feathery touch on the palate.",Riesling
Germany,"Everything about this dry, voluptuous Riesling is intense and penetrating. The palate is concentrated with stonefruit and yellow flower notes, and bristling with lemon-lime acidity. Rich layers of crushed stone and mineral oil linger deliciously on the finish.",Riesling
Germany,"Spice and lanolin notes are curious and enticing on the nose and palate of this sunny and sweet, but impeccably balanced Riesling. Juicy, supple, apple jelly and quince flavors are offset by striking acidity and steely minerality that reverberate on the finish.",Riesling
Germany,"Starts off with wet stone and lime aromas, then folds in Granny Smith flavors on the palate, giving it just the right mix of mineral, citrus and apple. It's lightweight but potent, with a lean but wiry frame. Drink now–2018.",Riesling
Germany,"Initially faint whiffs of saffron, tangerine and blossom catapult with intensity on the palate of this auslese. It's finely framed, but flavors of preserved peach, mango and honey are dense and concentrated, and cut with a long, linear streak of lime. Gorgeous now, but sure to intensify for decades to come.",Riesling
Germany,"Whiffs of smoke and crushed minerals lend a savory tone to bright honey and tangerine flavors in this unusually styled Gewürztraminer. It's not varietally classic, but refreshingly brisk in acidity and quite quaffable. Drink now.",Gewürztraminer
Germany,"A whiff of spice amidst freshly pressed apples and pears gives this bright, easy going Kabinett an autumnal feel. A swirl of honey enriches the midpalate, finishing with lemon-tea sweetness. Begin drinking now.",Riesling
Germany,"While a touch brambly on the nose, ripe rich tangerine and yellow plum flavors take the spotlight in this sunny off-dry Riesling. It's plush on the palate but pleasant, accessible and forward. Drink now.",Riesling
Germany,"Lemon cream, spice and lanolin notes add a mysterious veil to this delicate yet intensely concentrated Riesling. It's sweet on the palate with ripe, honeyed citrus, and a delicious mineral oil sheen that lengthens the palate.",Riesling
Germany,"Dark, smoky earth notes and savory dried herbs add fascinating complexity to intensely floral, sweet stonefruit and citrus flavors on this flavorful, yet delicately structured Riesling. Lime and tangerine acidity reverberate on the palate,  leading a long, minerally finish.",Riesling
Germany,"Lemon rind and fresh, green herbs add a flash of elegance to this dry, intensely textural Riesling. It's lush and rich with stonefruit flavor, but bristles on the palate with lime pith and jasmine tea astringency. Sunny and bright, but brisk with acidity.",Riesling
Germany,"Lanolin and waxy lemon-peel notes add an enticingly savory element to sweet, intensely concentrated citrus and honey flavors on this crisp Auslese-style Riesling. Shrieking acidity offsets all the juicy sweetness, leaving the finish remarkably dry.",Riesling
Germany,"Honeycomb and crushed rocks, preserved peach and citrus rind mix lavishly in this creamy, feather-light TBA. A bracing strike of acidity jolts through the midpalate, but finds ease in layers of mouth coating honey and wax that meander through an endlessly lingering finish. Stunning now, but will evolve well for decades to come.",Riesling
Germany,"Smoke and exotic spice notes intensify from nose to palate of this delicately framed medium-sweet wine. It's a savory, rather spicy wine, but a core of honey-laced peaches and pears shines brightly on the palate. Dazzling lemon-lime acidity extends a moderately long finish.",Riesling
Germany,"Whiffs of pollen and saffron lend shades of nuance to this otherwise perky sun-kissed Kabinett. Sweet yellow peach and apricot flavors are honeyed and plush, but balance out nicely through a crisp, lime-tinged finish. Drink now.",Riesling
Germany,Hints of bramble and earth accent pressed apple and pear flavors in this dry crisply composed Riesling. It's zesty and tight but finishes with revitalizing refreshment.,Riesling
Germany,"Stony and mineral on the nose, this brut-style sparkling Riesling revitalizes the palate with a fine persistent perlage. Flavors of tart green apple, lemon and pear are zesty and spry. It's a straightforward but four-square sparkler at a value price.",Riesling
Germany,"This intensely fruity, delicately structured Riesling showcases layers and layers of sweet stonefruit and qince jelly flavors. The attack is honeyed and rich, but balanced with a shower of citrus acidity and a steely minerality that lingers long on the finish.",Riesling
Germany,"Semi-sweet in style with a ripe, intensely fruity palate, this delicate little Riesling is surprisingly complex with layers of wax, honey and lemon-pith that reverberate on a brisk, minerally palate.",Riesling
Germany,"The entry-level Riesling from this historic estate is a solid, satisfying wine in 2010, offering modest aromas and flavors of citrus fruit and wet stones. It's a medium-weight, almost-dry wine, with a long, crisp finish. Drink now–2017.",Riesling
Germany,"Two years of aging on the lees renders incredible textural dimension to this decadently silky dry Riesling. Fresh white grapefruit, lime and lemon notes shine on the palate, offsetting expansive mouthfeel, with acidity that's focused and precise. Stunning already, but should evolve dramatically through 2025.",Riesling
Germany,"Penetrating flavors of preserved peach and honey are nuanced by layers of saffron, pollen and high-toned acidity in this sun-kissed auslese. It's delicate in body, yet concentrated in flavor and ripples of sweet nectar seem to amble endlessly on the finish. Gorgeous now, but should develop well for decades to come.",Riesling
Germany,"While dry in style, this effusively blossomy, peach-driven Riesling is chock full of ripe, honeyed fruit flavors. Soft tangerine acidity cuts through the lushness on the midpalate, aided by a sheen of minerals and bristling white-tea tannins.",Riesling
Germany,"Sunny tangerine acidity showers over plump honeydew and yellow plums in this lip-smacking, opulent spätlese. Refreshing grapefruit and green floral notes kiss the long, lingering finish. It's youthful exuberance shines, but it's likely to mature elegantly till at least 2025.",Riesling
Germany,"The nose of this light-footed Riesling is demure, showing whiffs of lemon and crushed stone. Yet on the palate, preserved rose petal and cherry blossom notes seem to explode, mingling into crisp grapefruit and honeydew flavors. Effusive yet elegant, it's a stunning dry Riesling with dramatic build and complexity.",Riesling
Germany,"Apple blossoms perfume pristine lemon, lime and tangerine in this invigorating off-dry Riesling. Vivacious and brisk, it's uncomplicated yet refreshingly thirst quenching. Drink now.",Riesling
Germany,"Blossomy and perfumed, this white wine made from red Pinot Noir grapes exudes much of the variety's smoky floral flair against the backdrop of a crisp, refreshing white wine. The palate is concentrated in pressed apple and pear notes that finish briskly. Drink now.",Spätburgunder
Germany,"This off-dry Gewürztraminer opens with a powerful bouquet of bergamot, violet and rose perfume that seeps into the palate. The aromatics are a bit overwhelming, but bright tangerine flavors stand up well. It's a light-footed wine that finishes briskly.",Gewürztraminer
Germany,"Whimsically feline packaging aside, this fruity and forward Pinot Grigio does a good job balancing bright luscious stone fruit against refreshing lemon-lime acidity. It's an easygoing, widely appealing dry white at a bargain price. Drink now.",Pinot Grigio
Germany,Touches of autumn leaves and dried herbs lend a savory feel to this dry and tightly composed Riesling. Bracing acidity and savory apple and pear flavors mark the palate.,Riesling
Germany,"Freshly snipped thyme and bramble notes are prominent, yet unobtrusive against a backdrop of honey-kissed lemon and lime in this brisk off-dry Riesling. It's a zesty sprightly wine to drink young.",Riesling
Germany,"Intensely perfumed with notes of violet petals, potpourri and herbs, this is a stunning, elegant Riesling that's also powerfully structured on the palate. It's intensely ripe with stonefruit, but quite dry in style with reverberating lime-juice acidity and a deliciously astringent lime-pith note on the finish.",Riesling
Germany,"Scents of tangerine peel and lanolin add a spicy complexity to intensely fruity, sweet peach and nectarine flavors on this gorgeously honeyed, yet easy-drinking Riesling. Striking lemon acidity and crushed stone notes add delicacy and nuance to the finish.",Riesling
Germany,"Hints of spice and pollen add dimension to ripe peach, apple and honey notes on this decadent but composed Riesling. It's lip-smackingly sweet on the attack, but sharp, steely acidity and hints of tea leaf extend long on the finish.",Riesling
Germany,"Delicate smoke and mineral tones seep into succulent yellow cherry and peach flavors in this deeply complex, structured wine. Delicate yet mouthcoating, zesty yet unctuous, it's a lingering, honeyed sip of sunshine.",Riesling
Germany,"Bramble and herb notes are prominent on the nose, but subside into succulent white grapefruit and tangerine on the palate of this cheerful off-dry Riesling. Sunny acidity adds to its approachable, easygoing feel. Drink now.",Riesling
Germany,"Luscious honeyed tangerine and yellow peach notes are offset by a streak of minerality in this easy, off-dry Riesling. It's delicate in body yet juicy and refreshing. Drink now.",Riesling
Germany,"Flirty and floral, this sunny off-dry Pinot Noir rosé (blended with a touch of Dornfelder) offers forward fruitiness in an elegant frame. With a kiss of strawberry and cherry flavors, it's an accessible, yet satisfying quaffer.",Rosé
Germany,"A blossomy, perfumed edge lends lift and vibe to earthier notes of pressed apple and pear in this light-footed medium-sweet Riesling. It's racy and sharp in mouthfeel with a finish that's brisk and bright.",Riesling
Germany,"Herbaceous, lemony and a touch green, this brisk light-bodied wine is made from Elbling, one of the Mosel's little-known other grapes. Dry on the palate, it's moderately concentrated with flavors of freshly-pressed apples and pear.",Elbling
Germany,"Notes of hay, pollen and beeswax add a savory, honeyed tone to this exquisitely dainty Riesling. The palate is intensely packed with sweet citrus fruit, but it's balanced with striking acidity and a shower of minerality on the finish.",Riesling
Germany,"This dry, remarkably minerally Riesling highlights tones of granite and wet slate against a backdrop of fresh apple, lemon and tangerine. It's broad and textural on the palate, with sharp lime juice acidity and a hint of lemon pith and herb on the finish.",Riesling
Germany,"This wine is fresh and vibrant in acidity and structure, yet penetrating on the palate with sweet, ripe stonefruit and yellow floral notes. Hints of lime pith and jasmine tea add texture and astringency on the long, mineral-laden finish.",Riesling
Germany,"There's a voluptuous weightiness to this textured, floral Riesling. The palate is laden with ripe stonefruits accented with hints of white pepper and lime zest. Finishes long with a shower of lemon-lime acidity and an intensely mineral, lanolin slick.",Riesling
Germany,"White pepper and savory dried-herb notes add a dark dimension to super-concentrated stonefruit flavors on this delicate, almost gossamer-like Riesling. It's penetrating on the palate with tangerine acidity and a long, lanolin and honey-coated finish.",Riesling
Germany,"Intensely aromatic with notes of orange blossom, honey and tangerines, this juicy, fruity Riesling is delicate in body with a refreshingly crisp acidity. Whiffs of lanolin and dried herbs add complexity and finesse.",Riesling
Germany,"Blossomy and perfumed, yet reverberating with steel, acid and minerals, this stunning off-dry Riesling packs so much more power and punch than it's diminutive frame suggests. Sweet, pristine white peach and cherry flavors persist through a long, meandering finish. Drinks beautifully now, but is powerful enough to evolve well till at least 2025.",Riesling
Germany,"Swathes of fresh green herbs and florals refresh tart yellow plum and peach notes in this racy, light-footed Riesling. Juicy stone fruit flavors are accented with long streaks of wax and lanolin that lend density and viscosity to the long, long finish. Gorgeous now, but likely to improve through 2025,",Riesling
Germany,"A blossomy, perfumed edge lends lift and vibe to earthier notes of pressed apple and pear in this light-footed medium-sweet Riesling. It's racy and sharp in mouthfeel with a finish that's brisk and bright.",Riesling
Germany,"Herbaceous, lemony and a touch green, this brisk light-bodied wine is made from Elbling, one of the Mosel's little-known other grapes. Dry on the palate, it's moderately concentrated with flavors of freshly-pressed apples and pear.",Elbling
Germany,"Slightly oxidized tones of pressed apple and pear are lifted by a shock of lemony acidity in this spry semi-dry Riesling. The tangerine palate extends moderately long, encouraged by a swathe of dried herb notes.",Riesling
Germany,"Smoke and crushed slate reverberate from start to finish on this intensely minerally, dry Riesling. It's linear in style with a lean, steely feel, but is anchored by delectably bright Meyer lemon and orange-peel notes on the palate.",Riesling
Germany,"A whiff of lanolin is a harbinger of maturity adding depth and complexity to this penetrating, fruity wine. Sunny, but puckering pink grapefruit shines on the palate, but it's limned by a deep mineral vein that extends the finish dramatically. Delicious now, but sure to develop well through at least 2025.",Riesling
Germany,"Clouds of powdery mineral and pollen blanket dense, ripe peach and apricot in this sprightly, feather-light Riesling. Semidry in style, it bristles with tart tangerine acidity. The finish is long and perfumed in honeysuckle. Drink now through 2025.",Riesling
Germany,"Tart tangerine and grapefruit notes seem to be glazed with honey in this simple yet fresh and easy-quaffing Riesling. It's off-dry in style with a brisk, thirst quenching gulpability. Enjoy now.",Riesling
Germany,"Saffron and orange blossoms perfume this intensely ripe, almost honey-slick Kabinett. There's a zesty backbone of tangerine acidity, but the palate is a crush of ruddy yellow peach and nectarine flavors. It's a luscious, forward wine to enjoy young.",Riesling
Germany,"Notes dusty mineral permeate through this zesty, lime-scented Riesling. A touch of honey and tangerine lends brightness to the off-dry palate. Light-footed and spry, it finishes moderately long with a murmur of tea tannins. Drink now.",Riesling
Germany,"Dried orange rind and citrus blossoms perfume this dry yet honey-touched Gewürztraminer. Concentrated grapefruit flavor lends surprising intensity on the palate, all the more enjoyable for an extreme value price.",Gewürztraminer
Germany,"Seductive trails of smoke, cinnamon and char on the nose lead to a palate that's ruddy and rich in black cherry and plum flavors. Supple and plush, it spreads languidly on the palate, finishing with nuanced touches of smoked meat and game.",St. Laurent
Germany,"Touches of bramble and smoke meander curiously amid sweet strawberry and cherry in this off-dry rosé. While a bit candied on the palate, it's a juicy approachable wine for casual imbibing.",Rosé
Germany,"“Feinherb” isn't an officially defined term, but it's generally understood to mean a wine that's slightly drier than might be expected without being fully dry. This is a medium-bodied, slightly sweet wine, with notes of honey and paraffin alongside citrus fruit. Drink it over the next year or two.",Riesling
Germany,"A nicely balanced entry-level Riesling, with hints of stone fruit and wet stone accenting apple and citrus. As a Saar wine should be, it's properly light on its feet, with refreshing acids on the abbreviated finish. Drink now and over the next few years.",Riesling
Germany,"Ripe, juicy white peach and honeydew flavors are fleshy and plump on this richly textured dry Riesling. It's undeniably opulent in style, but soft acidity and a crystalline edge of minerality drive a long, elegant finish. Gorgeously balanced.",Riesling
Germany,"Green floral notes and lemon zest perfume this pristine, pretty kabinett. Zesty lemon-lime acidity lends a breathless elegance, brightened by sweet-tart streaks of mango and tangerine that pucker and delight. Drinks gorgeously now, but will continue to improve through at least 2020.",Riesling
Germany,"Zesty lemon and lime, with honey and blossom notes permeate this ethereally delicate semisweet Riesling. Despite it's diminutive frame, it's concentrated in citrus and stone fruit flavors. Finishes long on a honeyed saffron note.",Riesling
Germany,"Honeysuckle and yellow peach perfume this intensely aromatic dry Riesling. Voluptuously rich, it coats the palate with an explosion of tropical fruit and thrilling sweet-tart acidity. Drinks deliciously now, but it's metamorphosis should be fascinating through 2035.",Riesling
Germany,"Intense smoke and nut-skin aromas add an earthy, savory minerality to rich, sweet Meyer lemon and orange-peel notes on the palate of this delicate yet powerful wine. There's massive complexity here, revealing itself in layers and layers on the long, lingering palate.",Riesling
Germany,"While elegantly fruity with hints of fresh peach and apple, this dry, mineral-focused Riesling showcases a lean, intensely linear profile. Brisk and revitalizing,it gains texture and astringency on the finish with hints of lanolin and lime pith.",Riesling
Germany,Vivacious notes of yellow plum and pear are shaded in tones of savory herb and earth in this dry light-bodied Riesling. Lemon and tart tangerine acidity jolt the midpalate into a brisk finish. Drink now.,Riesling
Germany,"While intense aromas of mango, honey and blossom are appealing, this unusually structured Gewürztraminer seems at the same time quite tart and caramelized. It's lithe and lean with moderate concentration of peach and tangerine flavors.",Gewürztraminer
Germany,"Earth and bramble notes intensify the savory, mineral character of this dry, spry Riesling. Lemon and lime revitalize the midpalate and lead a zesty finish. Drink now.",Riesling
Germany,"Lime and white grapefruit flavors form a bracing backbone of acidity in this rich and fruity, yet breathlessly elegant Riesling. The midpalate boasts plump yellow cherry notes, but the long finish is laser focused and steely.",Riesling
Germany,"Whispers of saffron and pollen lend mineral intensity to succulent yellow peach and cherry notes in this juicy yet revitalizing Riesling. It's semisweet in style with a dancing, lacy sugariness that lingers gently on the palate.",Riesling
Germany,"The finest shades of citrus and peach nectar frame this dancingly delicate Riesling. While diminutive in body, it's powerfully concentrated, striking the palate with endless bursts of sweet stone fruit and spice.",Riesling
Germany,"There's an earthy savoriness that adds shades of mystery to this otherwise sunny, sweet, delicate Riesling. It's concentrated with ripe yellow peach and honey flavors, but balanced with penetrating acidity and a murmur of crushed stones on the finish.",Riesling
Germany,"Honeyed lemon and white floral notes are bright,brisk and breezy on the nose and palate of this exceptionally refreshing off-dry Riesling. It's nervy with acidity and steely minerality, with a delicate spritz that gives the palate extra effervescence and vibe.",Riesling
Germany,"While fresh pink grapefruit and Meyer lemon notes shine brightly on the nose and palate of this off-dry Riesling, there's a touch of savory allium that distracts. It's a juicy easygoing wine with approachably soft, sunny acidity. Drink now.",Riesling
Germany,"Savory dried-herb notes and dusty, crushed-stone minerality add tones of elegance to sunny, sweet tangerine and quince flavors on this lithesome little Riesling. Bursting with fresh fruit and acidity, it's a refreshingly easy quaffer with surprising dimension.",Riesling
Germany,Lusciously jammy notes of preserved black cherry and raspberry are forward and friendly in this simple yet consistent Pinot Noir. It's briskly balanced in acidity and wraps up neatly on the finish. Drink now.,Pinot Noir
Germany,"A complex array of floral tones builds throughout this medium-sweet Riesling. Green notes of iris and lily add refreshment to a backdrop of heady jasmine and orange blossom. The palate is intensely fruity with juicy white peach and apricot flavors accented with a zesty lime acidity that revitalizes. Delicately framed, yet decadent and ebullient.",Riesling
Germany,"Exuberant in perfume, it conveys heady notes of honey, tangerine and mimosa that linger gorgeously through the palate. It's delicate in mouthfeel, yet almost shockingly penetrating with sweet peach and citrus flavors accented with punchy lemon acidity. Finishes long with an elegant swathe of green florals.",Riesling
Germany,"Honey and saffron accent pristine peach and floral aromas on this wine from Robert Weil's historic “tower hill” vineyard. It's extravagantly ripe with yellow stone-fruit and tangerine flavors, yet dancing on the palate with zesty lime acidity and a shimmering mineral streak that lingers on the finish. Complex and penetrating from start to finish.",Riesling
Germany,"Scents of lemon candy and tangerine accent intense flavors of honeysuckle, peach and mango on this deeply penetrating sweet Riesling. Brisk with acidity, it's delicate and dancing on the palate, but a honeyed richness coats the tongue deliciously. Finishes long with a kiss of saffron and blossoms.",Riesling
Germany,"While it's hard to go wrong with any of Fritz Haag's gorgeously sunny 2012 auslesen, the goldkapsels truly exemplify the pristine lusciousness of stone fruit and mango. Lemon acidity sings through the midpalate, highlighting nuanced shades of spice, mineral and earth that linger on the finish. Decadent yet impeccably balanced.",Riesling
Germany,"The 2009 Abtsberg Superior is inferior to its Herrenberg counterpart, but remains a very good wine. Hints of sweat and wet stones mark the nose, while the fruit is more expressive on the palate, coming across as greengage plum and bright citrus. Medium bodied; crisp on the finish.",Riesling
Germany,"This wine makes an interesting contrast to the estate's GG from the Wallhausen Johannisberg—it's seemingly much tighter. There's passion fruit and fern fronds, wrapped in crisp acids that leave the wine finishing long, but tart and scoury.",Riesling
Germany,"Floral and perfumed for a Rheingau Riesling, reminiscent of lilacs at first, and later developing wet stone and ripe apple nuances. This is medium bodied and truly on the dry side, with a refreshing, citrusy finish.",Riesling
Germany,"With its moderate alcohol level and bold aromas of lime sherbet, this would be interesting to try alongside some dry Australian Rieslings. It has a slightly velvety texture, which might set it apart, but also shows that bright citrus line from start to finish.",Riesling
Germany,"Lush flavors of preserved peach are touched with notes of savory herb, lanolin and blossom on this dry, but deeply penetrating Riesling. Bright lemon acidity shines through a textured, glycerine sheen on the palate, lingering long with a murmur of crushed slate and stone.",Riesling
Germany,"There's so much sweet fruit intensity to this lip-smackingly tasty Riesling. Simultaneously, it's brisk and bright on the palate with bristling tangerine acidity and a hint of fresh herbal tones on the finish.",Riesling
Germany,"Whiffs of lanolin and white flowers add freshness to this lavishly honeyed, deliciously fruity Riesling. Its sweet stone-fruit flavors are balanced with a spray of fresh lime acidity, giving it a lingering but refreshing finish.",Riesling
Germany,"Smoke and crushed stone notes add a savory, earthy element to sweet, honeyed tangerine and apricot flavors on this bright, brisk, remarkably complex Riesling. It's delicately structured but penetrating in style with a long, focused finish.",Riesling
Germany,"Green floral notes and juicy, ripe white peaches perfume this complex medium-sweet Riesling. It's ethereal on the palate but penetrating with stone fruit flavors and a sunny, bright tangerine acidity. Finishes with a lingering slick of wet-stone minerality.",Riesling
Germany,"Hints of pine and forest floor lend a cool, alpine feel to elegant white peach and blossom notes in this dry-style Riesling. The palate is ripe, rich and dense with stone fruit flavor, yet balanced with bracing lime acidity and fresh, green herb notes that linger brightly on the finish.",Riesling
Germany,"Exotically floral and spicy, this delivers an intoxicating blend of exuberance and elegance. While delicately framed, the palate is rich, ripe and juicy, with sweet yellow-cherry and apricot flavors, and a slick of wax and honey. It's brisk and nervy, yet finishes remarkably long, with a swathe of green herbal tones.",Riesling
Germany,"Blossomy and fresh with apple and pear aromas, this sprightly wine seems to flit and quiver on the palate with its piercing grapefruit acidity. Fresh and fruity with hints of quince jelly and lemon candy, it finishes long with a gorgeously honeyed, floral finish.",Riesling
Germany,"This is a standout amongst an increasing number of German Pinot Noir now available stateside. While youthful still with aromas of fresh black cherries and berries, it's layered with shades of bramble, herb and granite, suggesting a long evolution that's still ahead. Elegantly structured with cranberry acidity and fine, penetrating tannins, it's a balanced wine that's sexy and seductive.",Spätburgunder
Germany,"Nicely balanced, with pleasant petrol and slate characters on the nose and honey, peach and mineral notes on the palate. It's medium in body, ending on a harmoniously ambiguous edge that asks the question: dry or sweet?",Riesling
Germany,"Loosen's Grosses Gewächs bottling from old vines is plump, custardy and slightly sweet-tasting, buoyed by ample ripe apple and peach flavors and tinged with hints of lime, fern fronds and crushed stone. It might well have been more impressive served in a different (sweeter) flight; in this context it seemed slightly soft.",Riesling
Germany,"For a 2008, this seems to be developing rather quickly, showing toasty notes that emerge on the nose, expand on the palate and jump out on the finish, largely overshadowing the admirable citrus and crushed-stone elements. Drink now.",Riesling
Germany,"Fresh and zesty for a Rheingau trocken, with petrol and slate aromas and lime and green apple flavors that could come straight out of the Mosel. It's a refreshing, lightweight quaffer.",Riesling
Germany,"An open and inviting dry Riesling, medium bodied and plump, with tree fruits like apples and pears interwoven with citrus and crushed stone. Easy to drink and easy to like.",Riesling
Germany,"A good value in dry Riesling, this bottling features potent petrol, truffled honey and pineapple notes on the nose, while on the palate it's medium bodied, turning crisp and lean on the finish.",Riesling
Germany,"The “**” designation on this wine indicates the exceptional selection process used to pick intensely ripe, late-harvest grapes for this Auslese. Just a hint off dry, it's exceptionally full bodied with a rich, minerally palate accented by flecks of sweet stonefruit and honey. Brisk acidity offsets the voluptuous mouthfeel.",Riesling
Germany,"Kesseler's standard-label Pinot Noir is gorgeously perfumed with notes of violet, spice and vanilla that meld seamlessly into a backdrop of concentrated black cherries and plums. It's lavishly oaked, yet elegantly composed with brisk sour-cherry acidity and integrated alcohol. Delicious now, but should settle nicely through 2019.",Pinot Noir
Germany,"Candied slightly cooked strawberry and cherry notes permeate through this ripe ruddy off-dry rosé. Made from Pinot Meunier, it finishes with a whisper of dried savory thyme and lavender notes. Drink now.",Rosé
Germany,"Intense lemon and lime-skin aromas add sheen to ripe, juicy citrus, peach and honey flavors in this off-dry Riesling. Racy and crisp on the palate, it finishes vibrant and dry with lingering crushed-slate minerality. A fantastic bargain for such a solid wine.",Riesling
Germany,"Clean, green floral notes add refreshment to aromas of white peach and apricot on this superripe Riesling. It's lively and fresh with streaks of lime acidity. A shimmering minerality accents sweet mango, honey and saffron flavors. Finishes long with a lacy fringe of sweetness.",Riesling
Germany,"Fresh apple and lemon aromas are subtly accented with hints of saffron on this spicy-sweet Riesling full of ripe yellow-cherry and nectarine flavors. Piercing lemon-lime acidity lends a nervous, dancing quality to the palate. It finishes with a murmur of jasmine-tea astringency.",Riesling
Germany,"Heady aromas of honeysuckle, peach and herb hint to the complexity of this dry-style Riesling. The palate is ripe and rich with yellow peach and nectarine flavors plus a creamy, mouthfilling texture. Lemon-lime acidity strikes through the finish, leaving the tongue with just a murmur of honey and spice.",Riesling
Germany,"Fresh, green herbal notes and stony minerality add freshness to sweet stonefruit and yellow flowers on this crisp, dainty Kabinett. Bristling with acidity, the finish extends long on  a lusciously ripe citrus note.",Riesling
Germany,"Fresh lemon-peel and lanolin notes add complexity to this bright, intensely fruity Riesling. Crisp with acidity, it's refreshingly easy on the palate, with a delicate, lacy sugar note that lingers long on the finish.",Riesling
Germany,"Zesty lemon and lime aromas add elegance to unctuous white peach and apricot flavors on this delicate, yet remarkably complex wine. Off-dry in style, it balances a youthful fruit profile with nuanced shades of smoke and earth. Nervy citrus acidity drives a long, focused finish.",Riesling
Germany,"Upfront aromas of smoke and spring ramps subside to reveal delicate apple blossom notes on this honeyed, medium-sweet wine. Ripe, rich yellow peach and cantaloupe flavors flood the palate, yet wrap up remarkably dry with a lingering finish that's intense with minerality. It's gorgeously styled, yet elegant and dainty.",Riesling
Germany,"Alluring honeysuckle notes accent aromas of fresh apples and pears in this unusually blossomy Pinot Blanc. Floral notes penetrate through the palate as well, adding exuberance to flavors of white peaches and yellow cherries. Dry in style, with a bold, expansive mouthfeel, it's elegant and superbly satisfying.",Pinot Blanc
Germany,"Layers of smoke, spice and lanolin cast a shadowy tone to summery peach and tangerine flavors on this semi-sweet Riesling. Nuances of mineral, spice and fruit build in intensity on the palate, augmented by brisk lemony acidity. Finishes long with a delicate lace of sweetness.",Riesling
Germany,"Aromas of honey and freesia penetrate from start to finish on this fruity wine sourced from one of Prinz zu Salm's finest vineyard sites. Ethereal on the palate, it balances penetrating stone-fruit flavors with nervous lemon acidity and whiffs of orange rind and spice on the finish.",Riesling
Germany,"Fresh herb and green floral aromas lend a breezy, invigorating character to sweet yellow peach and honey flavors in this medium-sweet Riesling. Rich and fruity, yet bristling with tart tangerine acidity, it's a deeply satisfying sipper.",Riesling
Germany,"While the nose is subdued with delicate hints of minerals, wax, lemon and lime, this almost-dry Riesling is buoyantly fruity on the palate with concentrated flavors of peach and Meyer lemon. Lemon-lime acidity strikes provocatively on the midpalate for a bold, impactful finish.",Riesling
