country,description,variety
Argentina,"Aromas of blackberry, balsam wood, lemony oak and forest floor lead into a fully stocked, hefty palate. Flavors of black fruits, licorice, herbs and oak finish bright but level. What this lacks in complexity is made up for in ripe berry flavors and overall balance.",Malbec
Argentina,"Minerally and firm on the nose, it bursts with blackberry and plum aromas. In the mouth, this is lively and medium bodied, while nice acidity allows it to roll over the palate while showing earthy flavors of black fruits and rubber. A saucy, leathery, meaty-tasting finish is friendly in feel.",Malbec
Argentina,"Very red and slightly grassy on the nose, with aromas of strawberry, mint leaf and rhubarb. It's a juicy screamer in the mouth, with intensity, blazing acidity and wild raspberry and plum flavors. Dry, tight and long on the finish.",Malbec
Argentina,"The name and packaging scream “concept wine,” but what's in the bottle will win you over. It's full and rubbery, with pleasant yet generic berry aromas. The palate is racy and fairly hefty and tannic, with black raspberry, plum and mild herbal flavors. Grabby, with good acidity on the finish.",Cabernet Sauvignon
Argentina,"A big drop off from prior years, probably due to the cold harvest conditions of 2008. Smells minty and lactic, with hard spice and distant fruit aromas. Feels closed, tannic and clipped, with narrow berry flavors and green notes. Toasty on the finish, but also clacky feeling. Good relative to other wines, but not at $70.",Malbec
Argentina,"Rubbery, bold and earthy on the nose, then full and sticky in the mouth, with sweet black fruit flavors. Tastes more like a Bordeaux red wine than textbook Pinot Noir courtesy of heavy extraction, darkness and oak. Tastes good but could use a lesson in elegance and restraint.",Pinot Noir
Argentina,"Whether it's this single-vineyard Malbec or its partners below (Turcos or Tanos), the characteristics of each are nearly identical: creamy oak, tons of vanilla and milk chocolate, resiny mouthfeels and rich, sweet berry flavors. Pick one or pick them all; they are quasi interchangeable and only time will tell if they show individuality or remain identical triplets.",Malbec
Argentina,"Los Tanos hails from La Consulta in the Uco Valley, as does its brothers, Los Turcos and Los Gallegos. As stated in the Turcos and Gallegos reviews, these wines are triplets in terms of their oaky, creamy, sweet characteristics and overt richness. Tasted side by side by side, they are almost one in the same, with an emphasis on creamy oak, resiny mouthfeels and ripe berry fruits.",Malbec
Argentina,"This ultraripe, happy Cab Franc bursts on the scene with jammy blackberry and prune aromas. The mouthfeel is lush, almost syrupy. Flavors of ultraripe blackberry, cassis and loamy earth finish warm, lusty and with chocolate and coffee notes.",Cabernet Franc
Argentina,"Loud, charred aromas start out gaseous but turn more elegant, peppery and lightly herbal with airing. This wine is ripe, deeply built and firm in feel; flavors of cassis and sweet, candied blackberry finish subtle and quietly long.",Malbec
Argentina,"Like a good Bonarda should be, this is sweet, lush, dense and jammy on the nose. The palate brings big tannins and a slight rubbery mouthfeel, but the flavors of black cherry and wild berry are big, tasty and untamed. Full of power; needs airing upon opening but aging isn't necessary. Includes 20% Malbec and 10% Cab Franc.",Bonarda
Argentina,"Dark as night, with shoe polish, coconut and powerful black-fruit aromas. This is jammy, dense, soft and not for aging, but it does deliver a truck load of toasted coffee, blackberry, molasses and crisped brown sugar. Supersweet, rich and made to drink now.",Red Blend
Argentina,"Sweet aromas of sugar cookie come with a pinch of citrus fruit. The mouth is plump, with just enough citric acidity to keep it together. Flavors of pineapple, lemon, tangerine and grapefruit peel lead to a pithy, slightly bitter finish. Drink immediately; it's starting to fade.",Sauvignon Blanc
Argentina,"An elegant, floral Pinot Noir from Patagonia's top producer of PN. Barda is warm, creamy and intense. An emphasis on balanced raspberry and cherry flavors mixed with rose hip and freshness gives it an Old World personality. A very drinkable and honest style of red wine. Good now into 2011.",Pinot Noir
Argentina,"After a rubbery opening, this blend of Malbec, Cabernet Sauvignon and Bonarda picks up steam and freshens up significantly. Aromas of sly dried berry take over, leading to a full, flush palate of plum, raspberry and raisin. Comes around the more time you spend with it.",Red Blend
Argentina,"Very nice Malbec for the money. The bouquet is floral and bright, with a hint of dry oak and mocha. The feel is full and well balanced, while the palate has a bright and lively personality with cherry, raspberry, chocolate and spice flavors. Smooth, tastes good and offers plenty of value.",Malbec
Argentina,"A dark and toasty specimen with a deep-purple tint and aromas of oak, butter and powerful blackberry fruit. The palate is textured and rich, with thick, smoky flavors of black fruits and peppery spice. Pours on the oak but in an integrated way; very good for varietal Cab from 2008.",Cabernet Sauvignon
Argentina,"Dark, sweet and rooty on the nose, with a warm, soft outlook. The palate is bold and thorough, with ripe berry, plum and chocolate flavors. Per usual, Punto Final is ripe, sweet and big, with a peppery finish and toasty, jammy warmth.",Malbec
Argentina,"Lively but also narrow on the nose. The feel is very fresh and juicy due to firm, bracing acidity that gives a tangy, lemony character to the wine's dark-fruit core. Snappy, linear and crisp for a wine of magnitude and extraction. Some might say it's sheering and acidic; others might call it ageworthy.",Malbec
Argentina,"Dark and raisiny, and pushing the ripeness meter to the max. This is a dense, sweet, semihot wine with raisin, stewed berry and jammy black cherry flavors. It's big and broad, more simple than complex, with a raisiny DNA and a boatload of sweetness. Personally, I prefer Cassone's less expensive, more balanced reserva to this wine.",Malbec
Argentina,"Berry, cola, pepper and lemon peel aromas are taken down a notch by a note of spent coffee grinds. The palate is grabby, with creamy flavors of chocolate, vanilla, berry and milkshake. Finishes thick and sweet.",Malbec
Argentina,"Tropical and a bit briney on the nose. The palate is healthy in feel, with sweet white fruit flavors, a pinch of lemon and creamy oak. Finishes quick, with a nice feel and adequate acidity; will do best if well chilled.",Chardonnay
Argentina,"Neutral smelling except for a bit of lime, grass and mineral. Feels juicy and citric in the mouth, with pithy flavors of lime, orange and green grass. Finishes slightly bitter and pithy, but fresh and tangy.",Sauvignon Blanc
Argentina,"Grassy red berry and plum aromas lead to a lean, somewhat high-acid palate with herbal, oaky flavors of raspberry and plum that don't last that long. Fresh and healthy feeling on the finish, but tasting more of oak and spice than fruit.",Malbec
Argentina,"A tale of two wines. The early impression is that of a foxy, incomplete, sweaty wine with gaps in the fabric. But once it gets air, things turn around for the better. Ultimately it proves itself as a serious Malbec with a broad texture and jammy, sweet berry fruit. But it starts out so scattered and funky that it remains compromised.",Malbec
Argentina,"Earthy and rugged at first, then it smoothes out to show cola and lush berry aromas. Plump and round in the mouth, with jammy blackberry core flavors, a hint of herbs and spice, and then a chewy, sticky, generous finish. Very nice Malbec with a cool identity.",Malbec
Argentina,"An improvement over the 2008 version, this wine starts with rubbery aromas of berry fruits and earth, and there's a pinch of sulphuric matchstick tossed in. Plump and full in the mouth, with berry, herb and peppery flavors. Shows some chocolaty richness on the finish.",Malbec
Argentina,"Floral and jammy smelling, with blueberry fruit and fennel aromas. Saturated and choppy feeling, with candied fruit flavors mixed with herbal notes. Just solid enough on the finish despite some holes in the fabric. Juicy and forward as a whole.",Malbec
Argentina,"Aromas of wet cement, pencil eraser, plastic, vanilla and jammy blueberry come in front of a racy palate with pronounced acidity and flavors of spiced cherry, plum and herbs. A long finish with power beats its chest before flattening out and turning heavy.",Cabernet Franc
Argentina,"Black-fruit aromas come with notes of rubber and smoke. Full and rugged feeling, the wine has juicy acidity and inherent raciness. Flavors of blackberry lean toward jammy, while subtle oak notes enhance this full-bodied, fruity red.",Bonarda
Argentina,"This extracted, oaky wine is generous on the nose, with minerally notes, iodine and potent blackberry aromas. It's big but balanced, and the flavor profile delivers common berry, toast and oaky flavors that finish strong and with espresso-like bitterness.",Malbec
Argentina,"A well-made everyday Malbec that gets it done in all ways. Smells nice and floral, with bold, smooth berry aromas. The palate is fresh and lively, with juicy berry flavors, controlled creamy oak notes and spice. Clean on the finish, and a pleasure to drink.",Malbec
Argentina,"Opens with candied, chocolaty aromas that contradict its age. In the mouth, it's mature although the structure is breaking up; nonetheless, it's interesting and attractive, with herb, raspberry, tea, tobacco and chocolate flavors. Overall it's a different breed, and despite having lost its structure it's sly and well worth a go. Drink now.",Red Blend
Argentina,"A nice, clean, fairly complex white is what this is. The nose is all lychee and jasmine, and it's not at all heavy or oily. The palate is bouncy and fresh, with a tropical mix of lychee, melon and papaya flavors. Agile on the finish.",Torrontés
Argentina,"Graham cracker is the lead aroma, and that's followed by jammy fruit, cookie dough and finally a touch of raisin. The palate is plump for an '08, with berry flavors, herbal notes and some bitterness. A touch clipped and rough, but a good effort for a tough year.",Malbec
Argentina,"This earthy, mature Cab is rusty in color, with aromas of dried red fruits, tobacco and leaves leading to a medium-bodied, smooth palate. Flavors of cola, cocoa, red licorice and cherry finish with mellow tannins and a final dusting of cocoa powder. Drink now.",Cabernet Sauvignon
Argentina,"Spiced berry and cassis are the lead aromas on this medium-bodied, zippy Malbec. In the mouth, this shows mostly fresh acidity, red-fruit zest and snap. Flavors of loamy berry, baked plum and earth run dry, while the finish is compact in feel, light in weight and overall seems clean and fresh.",Malbec
Argentina,"Bold berry fruit, mint, shoe polish and creamy oak aromas are present on the nose of this full, plump, fairly tannic Malbec. Flavors of ripe blackberry, spice and raw oak finish toasty and pure, with good length and clarity.",Malbec
Argentina,"Dry aromas of leafy, spicy red-berry fruits register as complex and mature. Medium in body, it has integrated tannins and acids. Flavors of lightly baked cherry and sweet red currant are earthy and finish with notes of cocoa powder, raspberry and plum. Drink now.",Merlot
Argentina,"Plum and berry aromas are expressive and a touch gritty. This Malbec feels round and medium to full in body, with present but controlled tannins. Oak, lactic notes and black-fruit flavors finish minty and with natural herbal hints along with healthy, bracing acidity.",Malbec
Argentina,"Oaky up front, with more than a dash of mocha, caramel and sweet berry fruit aromas. The palate is zesty and honest, with juicy, bright black cherry and berry flavors. Finishes toasty and perky, with one last shot of firm acidity to keep it running long and late.",Malbec
Argentina,"With attractive melon and other tropical aromas, this is a Torrontés that rises above the masses. It smells great and tastes like a pure blend of lychee fruit, tangerine and honeydew melon. The palate feel is smooth and round, and the finish is dry, clean and healthy. It's everything that Torrontés should be. Drink now.",Torrontés
Argentina,"Heavy oak greets you on the nose in the form of shoe polish and blackened aromas. This feels ripe, solid and woody, with good structure. Flavors of plum, mint and oak resin turn spicy and minty if given time, while the finish is driven by crisp acidity and plum and raspberry flavors.",Malbec
Argentina,"Pure is yet another addition to Trapiche's overflowing stable of Malbecs. This is big, grabby and shows chocolate, floral, herbal and perfumed berry aromas. A choppy but flush mouthfeel stages herbal-leaning, red-fruit flavors that carry a touch of green that's seconded on a minty, herbal, plump feeling finish.",Malbec
Argentina,"Round, lifted and bright, with full berry, cassis and plum aromas. The palate is round and the body full, while the flavor profile includes roasted blackberry, coffee, chocolate and coconut. A full and chewy wine that comes across nice given the troubles of the '08 vintage.",Malbec
Argentina,"A pretty white wine with lively aromas, flavors and feel. The bouquet issues attractive lychee, melon and vanilla cream aromas, while the palate flows forth with apple, melon and exotic citrus flavors. Just spicy enough on the tail end, with a lasting taste of lychee fruit. Delicate, solid and fresh.",Torrontés
Argentina,"Blackberry, rubber and a suggestion of minerality work well as an invitation to this juicy, woody wine that's long and full in the mouth, with dark-fruit flavors of black cherry, blackberry and plum. Woody and toasty, too, but dry and spicy rather than sweet, blowsy and creamy. A nice Malbec for all occasions.",Malbec
Argentina,"Minty, oaky and spicy up front, with cherry and berry aromas that are potent. The palate is lush, flush and tannic, with aggressive flavors of bacon, smoke, roasted blackberry and savory spices. It finishes well, with freshness along with a dark, smoky tail.",Syrah
Argentina,"A well-made Malbec that should please almost any fan of red wine. The nose is concentrated and full of black fruit, so it delivers what you'd expect. The mouthfeel is balanced, with medium weight and easy tannins. Black-fruit tastes of all types make for a solid flavor profile, and the finish offers mocha and cleansing acidity. A rock-solid wine for beef and pastas.",Malbec
Argentina,"For a tough, cool vintage, this wine displays lush qualities and depth, bordering on jamminess. Flavors of baked plums and cassis rest on a plump, soft palate with little tannic bite. All in all, it may be a little overripe, which is why the finish is short. But as a whole this is a tasty wine, especially considering the year.",Malbec
Argentina,"Aromas of brick dust, tobacco, red flowers and cassis come with a touch of herbal green scents. This feels healthy and balanced, with flavors of herbal berry and currant. Things turn a bit saucy and more herbal on the finish.",Cabernet Sauvignon
Argentina,"This wine requires breathing time to show its true colors. Early on it's reduced and cheesy, but soon it offers cleaner aromas of cola, berry and dark plum. The acidity is a bit high and sheering, but on the plus side it's fresh and driving, with bright cherry and berry flavors along with ample oak.",Malbec
Argentina,"Floral and fruity to open the show, and then there's plenty of oak and resin aromas coming next. The palate is tight, acid rich and woody, with solid black fruit flavors along with toasted oak notes and coconut. Juicy, fresh and healthy, but quite oaky.",Malbec
Argentina,"Starts out earthy and gaseous but the bouquet settles on round, full blackberry aromas. Lush, grabby and full in the mouth, with bold blackberry flavors that are clean, forward, uncomplicated and even a bit elegant. Tastes good and comes across smooth and polished for Bonarda.",Bonarda
Argentina,"A wonderful wine from the Uco Valley of Mendoza that opens with fine fruit, richness and molten earth. The palate is big as they come but not hard and out of whack, and the flavors are an amalgam of rich black plum, berry fruit, fig paste and chocolate. Smoky and sultry on the back end, with mocha and coffee for finishing notes. Drink now through 2014.",Red Blend
Argentina,"Light, airy, tropical and very nice for an under-$10 Argentine Chardonnay. The nose is nice and easy, while the flavors of orange, melon and lychee are tropical but seem right for the wine's body and acidity. Easygoing as they come, with a hint of sweetness on the finish.",Chardonnay
Argentina,"Initially it smells flat and earthy, with raisiny black fruit aromas. As it airs out it improves, but throughout its run it comes across heavy and wayward, with raisiny flavors and a simple dullness that prevents the wine from rising to the next level. Good Malbec but not a value at $45.",Malbec
Argentina,"By all accounts, 2008 was a tough vintage with cool weather, stunting frosts and ripeness issues. This wine seems afflicted: its opening is good, with coconut and floral shadings. But the palate is limited in richness and the flavors are standard, with char and barrel notes creating bitterness. Nice and honest for a subpar year.",Malbec
Argentina,"Raisiny black-fruit aromas are jammy and a clarion indicator of what's to come. In the mouth, this Malbec is saturated and chunky, with extreme ripeness. Flavors of raisin, prune and baked berry fruits come with secondary spice and pepper notes. The finish is earthy, heavy and rich but short on vibrancy.",Malbec
Argentina,"Blueberry and boysenberry aromas are deep and slightly reduced in nature. This is a chunky, wide-bodied wine with wiry acidity and more power than elegance. Flavors of roasted, toasted black fruits finish blocky and with espresso-like bitterness.",Malbec
Argentina,"Despite having several years in bottle, this Malbec opens with a huge blast of charred oak, shoe polish, lemon peel and rooty berry aromas. The palate is clipped and linear in feel, while flavors of coconut, vanilla and generic berry finish with lasting coconut and unsettled oak.",Malbec
Argentina,"Hard, charred oak and cedar are the lead aromas on this woody Malbec, which also shows lemon peel and blackberry on the nose. The palate is tight and pushy, mixing flavors of toasty black fruits with raw oak resin and bitter chocolate. On the finish, there's heat and even more oak.",Malbec
Argentina,"Having tasted the previous vintages and not liking them all that much, I can safely say that this 2010 is a much better, cleaner, more varietally correct version of Torrontés. It's clean, fresh and defined by light aromas and flavors of lime and green melon. Juicy and soda-like on the finish.",Torrontés
Argentina,"Sweet and savory aromas of hickory, BBQ and plum jam are nice, while the body is structured and full. The flavors follow the nose, meaning there's a savory, roasted quality to the wine but also jammy raspberry fruit notes. Chewy and a bit marinated, but it's quite good for the price.",Malbec
Argentina,"Sweet and candied on the nose, with marshmallow, cotton candy, chocolate-dipped cherry and dustiness. The palate has a pure feel and good ripeness, with flavors of herbal berry, toast, coffee and spice. Warm, chocolaty and oaky, with a lasting mocha flavor.",Malbec
Argentina,"Bold and pruney, with herbal, soft, ultraripe aromas in front of a jumpy yet partially stewed palate. This blend of Malbec with Bonarda and Syrah is your typical huge, tannic bruiser with big extract, huge tannins and just enough acidity to keep it pumping. Pretty good and perfectly drinkable, but a little over the edge.",Red Blend
Argentina,"Bright, playful berry and plum aromas are clean and fruity. Fresh and juicy, it shows firm but not jagged acidity. Flavors of ripe plum, berry, cocoa powder and herbs finish in forward fashion and not too oaky.",Bonarda
Argentina,"As the higher-end 2008s hit the market, the vintage's underwhelming character is confirmed via wines like this. Oaky and rubbery on the nose, with scattered, lean berry fruit flavors and bitterness. Like many '08s, it's short on richness and comes across unfocused. That said, it's still a good wine that's not badly made.",Malbec
Argentina,"Given the difficulties of 2008, this is a commendable, drinkable wine. The nose is full and dark, with ripe berry aromas. That leads to a tannic, semisharp palate with spunky blackberry fruit that comes with spice and chocolate shadings. Flavorful and correct, but a little tight and tough.",Malbec
Argentina,"Clean and tropical, and not too heavy, oily or chunky. The nose is pure lemon, pear and apple, while the flavor profile revolves around citrus, apple and honey in the center. Finishes sweeter than it starts, but with dry papaya for balance. Good everyday Chardonnay from Argentina, something we don't see too often.",Chardonnay
Argentina,"Earthy and warm on first take, with deep fruit and soupy side aromas. The palate is juicy and lively, with blackberry flavors as well as toasty accents. Round, ripe and generous on the finish, with brightness but also a syrupy side. All in all it's a good wine for the money.",Malbec
Argentina,"A touch creamy and showing fresh corn and haystack on the nose, but in the mouth it's plump, good and mild, with fleshy white fruit flavors sitting in front of a smooth, lightly pithy finish. Yes, it's another warm-climate tropical Chardonnay. But it's a good one that's easy to drink.",Chardonnay
Argentina,"Char, sawdust and black cherry aromas confirm the wine's “oak cask” labeling. Full bodied and ripe, it conveys meaty thickness and bold flavors of berry and spiced plum. A toasty, charred finish is lifted by bright acidity and fresh black-fruit flavors. This will go well with just about anything off the grill.",Syrah
Argentina,"In this easy-drinking wine, jammy aromas of multiple black fruits lead to a soft, simple palate with a streak of bracing tartaric acid. Straightforward blackberry flavors come with little to no complexity, while the finish is quick and fades away with modest grip and length.",Malbec
Argentina,"Big aromas of blackberry and raspberry feed into a full, fresh and ultimately standard palate with grapy blackberry flavors that show a controlled herbal side. Toasty and a touch bitter on the finish, it has a minty aftertaste.",Malbec
Argentina,"Leathery aromas blend well with concentrated black-fruit scents. In the mouth, this value-priced Malbec offers juicy purity and plenty of spunk. Flavors of black fruits, licorice and chocolate maintain a sense of freshness, while the finish offers residual blackberry and cassis flavors.",Malbec
Argentina,"Initially this Malbec smells pinched and of cheesy leather, although with airing the nose shifts to latex and heavy berry aromas. The mouthfeel is chewy and blocky, while flavors of earthy black fruits, herbs and dried spices finish roasted and briny.",Malbec
Argentina,"Extremely ripe and concentrated but arguably a bit too massive for its own good. That said, we love the wine's tobacco, cassis and inky qualities, but worry a little about the lemony oak character and overall potency. Deep as midnight in terms of flavors, with black fruits galore setting up a richly packed, ultraripe finish. New World to the max but very tasty and rich.",Syrah
Argentina,"Concentrated, dark and clean for a basic 2008 Cabernet, with full but generic berry aromas and a pinch of rubber. The body is good and so is the structure, and overall the wine's roasted berry flavors blend well with sweet vanilla and caramel. Very good for value-priced Argentine CS.",Cabernet Sauvignon
Argentina,"Ripe plum and berry aromas come with spice notes before a supremely generous palate that's loud and flavorful in blackberry, cassis and black cherry fruit. On the finish, chocolate and oak influences roll in as the tannins subside. For power, flavor and clarity, this is a sure bet.",Red Blend
Argentina,"Spicy, dry aromas of earth, red currant and black olive offer some complexity and style. This is full bodied, racy and loaded with black cherry, cassis and peppery spice flavors. A touch of heat and menthol adds jolt to the finish.",Cabernet Sauvignon
Argentina,"Standard berry aromas come with notes of leather and animal. This is firm, clacky and shows biting tannins, while the flavor profile revolves around herbal blackberry with a pinch of salt. Chocolaty oak and herbal influences guide the finish on this firm, slightly abrasive wine.",Malbec
Argentina,"Smoky, dark, rich and very oaky, with leather and cheese aromas. This is one concentrated, tannic bruiser; it's fully extracted and roasted, with blackberry, molasses, pepper and coffee flavors. A lush, round, jammy specimen that pours on richness in place of elegance and sophistication.",Cabernet Sauvignon
Argentina,"Warm and generous on the nose, with hints of brick dust and herbal strawberry fruit. Seems healthy and ready in the mouth, with good berry fruit, moderate spice notes and just a minor touch of herbal character. Works well, although it worked better when it was an under-$10 wine.",Malbec
Argentina,"Minty and heavily oaked, with creamy aromas of vanilla bean, milk chocolate and raisiny sweetness. The palate smacks down with a tight, rubbery feel and then unleashes heavy, toasty flavors of herbal berry fruit, raw oak and mocha. Good for a rich, robust wine but it doesn't excel and it seems a little out of balance.",Red Blend
Argentina,"This Malbec from a cool vintage opens with a mix of gritty plum and jammy berry aromas. In the mouth, it's deep enough but compact. Flavors of herbal plum, minty oak and wild berry finish with a mild herbal note and juicy acidity.",Malbec
Argentina,"Dry and medium in body, this Cab from a warm vintage is simple but friendly, with nice cassis and raspberry aromas. Juicy and lively on the palate, it holds red-fruit flavors accented by spice and herbs, particularly mint. A mild finish makes it an easy drinker.",Cabernet Sauvignon
Argentina,"Opens with a slight chemical-smelling topping to berry, raisin and cheesy aromas. The palate is chunky on one hand and driving on the other, with berry and raisiny flavors. Lush on the finish but raisiny, and overall it settles on soft-bodied and flush.",Malbec
Argentina,"Big and nice, with bacon, rubber and espresso aromas. There's a lot of color and heft to this Malbec, which belies the vintage to an extent. Look for nicely interwoven plum and berry flavors in front of a wavy, balanced finish. Pretty deep given that 2007 was an abnormally cool year in Mendoza.",Malbec
Argentina,"A standard but well-done red blend. The nose deals lively plum and blackberry aromas, but also a slight hint of pickle. It's juicy and ripe-feeling on the palate, where red-fruit flavors of plum, cherry and raspberry are dominant. Solid and warm on the finish, and healthy and honest overall. It's 75% Malbec with 15% Syrah and 10% Bonarda.",Malbec
Argentina,"Floral aromas and berry power up front, then lead to a fresh, bright, almost screechy feeling palate. Toasty berry fruit flavors are moderately spicy and the finish offers a reprise of toastiness and kick. This wine contains 15% Malbec and Bonarda, which makes it more fruity.",Cabernet Sauvignon
Argentina,"A power-packed blend of 60% Cabernet and 40% Merlot that offers mossy aromas, earth and lush black fruit scents. The palate is lively yet balanced, with saturated wild berry, toast, anise and pepper flavors. Dark, toasted and showing licorice on the finish. A little hot and aggressive, so drink in late 2010 through 2012.",Bordeaux-style Red Blend
Argentina,"Big and purple, with ripe aromas of black fruits and bacon. The mouth is filling and full, with oaky blackberry, coffee and mildly roasted flavors. Turns more lush and soft on the finish, which is long and tastes of fig paste and prunes. Gets it done for the most part.",Cabernet Sauvignon
Argentina,"Pungent aromas of citrus range from lemon to orange, and there's also an oily element to the bouquet. The palate has a highly regular, almost lazy feel to it along with flavors of pithy citrus and nectarine pit. Finishes lemony and melony.",Torrontés
Argentina,"Opens with standard cherry/berry aromas, although with airing cheese notes and dill enter the picture. The palate is meaty in feel, with firm, tough, slightly roasted plum and berry flavors. Finishes hot, with a bold plum and berry character.",Malbec
Argentina,"Tropical and typical for the variety, with lychee and oily match stick on the nose. The palate is competent, with lemon-lime, apple and spiced Asian pear flavors. Dries out nicely on the finish; good Torrontés to drink as soon as possible.",Torrontés
Argentina,"Ripe plum and berry aromas are supported by a full dose of smoky, savory oak. The palate is round yet jagged, while flavors of toasty, chocolaty berry fruits are also lightly herbal and heavily oaked.",Cabernet Sauvignon
Argentina,"This oak-heavy Syrah from northern Argentina opens with milk chocolate, mint, vanilla and briary berry aromas. The palate is full and chewy, with a creamy, resiny feel and peppery, spicy, herbal blackberry flavors. An oaky, slightly green tasting finish is round in feel.",Syrah
Argentina,"Aromas of tarry asphalt, hockey puck and pasty oak dominate the creamy berry component. Jammy in feel, it has prune, spiced berry and herbal flavors. On the finish, the tannins are grabby while volume drowns out finesse.",Cabernet Franc
Argentina,"With floral aromas, toasty oak notes and solid berry fruit, this bottling is the best among Trapiche's 2007 single-vineyard Malbecs. The palate features smoky berry fruit but also high acidity and some scour. Fortunately it's also layered and structured. Will do best with meats and fatty foods. Drink now through 2015.",Malbec
Argentina,"Waxy and warm, with peach, sweet ham, spice and vanilla aromas. As Catena Alta goes, this is not stellar. In fact, it's light on fruit and lacks the depth of flavor and punch you'd hope to see from a $34 wine. What you get is a fleshy, soft Chard with mild peach, papaya and melon flavors, and then a whack of finishing oak.",Chardonnay
Argentina,"Firm and leathery smelling, with a drying, oaky nose and then lifted, sweet flavors of jammy raspberry and cassis. The fruit here is riper than many '08 Cabs, and while it's a bit lean in feel, it tastes good and offers ample spice for balance.",Cabernet Sauvignon
Argentina,"Simple, well made and tropical, with a touch of oak. The palate is zesty, citric and healthy, with pineapple and orange flavors along with a pinch of star anise, vanillin and pith. Finishes fresh and juicy, with mild vanilla shadings.",Chardonnay
Argentina,"Rubbery, tarry and quite black in nature, with a full-bodied mouthfeel and meaty, spicy dark-berry flavors. This ranks as a voluminous wine with a heavy disposition; it's sweet and spicy late, with generic bold-fruit character throughout.",Syrah
Argentina,"Modest, minerally and clean, with mild dusty apple aromas. The palate is pillowy and comfortable, with just enough acidity to push up the apple, green grape and white plum flavors. Finishes similarly, with a sweet lasting impression.",Pinot Grigio
Argentina,"A good value Cabernet from Argentina? You bet. This one smells like a bowl full of berries touched up with spice, vanilla and leather. It's fresh and ripe in the mouth, with flavors of blackberry jam and nutmeg. Smooth on the finish, it gets things right without pushing the envelope.",Cabernet Sauvignon
Argentina,"As Argentinean rosé goes, Maipe's is a success. The wine is clean and colorful, with cheerful cherry and raspberry aromas that are decidedly not funky, skunky or stale. The palate is snappy, with mild berry fruit flavors and a clean, medium-length finish. Candied and friendly but not forced. Drink now.",Malbec
Argentina,"Altocedro's 2011 stable of high-end Malbecs all carry something in common: heavy, creamy oak that gives the wines severe milk chocolate and vanilla characteristics. This is sticky in feel, with ripe berry fruit, mulchy earth and resiny flavors. Carob, vanilla and cocoa flavors control a syrupy finish.",Malbec
Argentina,"Deep as a country well, with lush black plum and blackberry aromas as well as lead pencil and balsam wood. The palate is solid but not overly tough or complex, and the flavors of cassis, berry and black cherry are more than satisfying. A pure, textbook modern red wine; drinkable now and over the next couple of years.",Malbec
Argentina,"A touch leathery and cooked at first, but with time the bouquet deftly blends saucy, savory Syrah aromas with sun-baked black fruit notes. The palate is saturated and chunky, with aggressive sweet-and-sauvage flavors of grilled meats, spice and burnt brown sugar. Roasted, warm and mildly bitter on the finish. Drink now through 2012.",Syrah
Argentina,"Quite intense, with blasting aromas of blackberry, coconut, cocoa and even leather and horse hide. It's 65% Tannat and 35% Malbec, and as a whole it's big, grabby, tight and full of blackberry and raspberry flavors that bring an herbal twist. Smoky and herbal on the finish.",Red Blend
Argentina,"Dark in color, with aromas of coconut, leather, chocolate malt balls and generic black fruit. The wine is tannic and a little bit grating but generally in balance, with bold cassis, cherry and blackberry flavors. Not complex and seemingly made more for the everyday wine drinker than the collector.",Cabernet Sauvignon
Argentina,"A joint venture between the Renacer winery of Argentina and Chile and Allegrini from the Veneto in Italy. Thus it makes sense that this five-grape blend is done in the Amarone style, with concentrated, dried grapes. Aromas are generous, minty and floral, and the palate is jammy and concentrated. Rich and a little raisiny, just like Amarone. Drink now.",Red Blend
Argentina,"Syrupy and strange, with a lactic palate feel and cloying cherry fruit. Finishes bitter as well as candied.",Cabernet Sauvignon
Argentina,"Aromas of light raspberry and cookie dough are a bit sweet, but taken together they are attractive. The palate delivers snappy berry flavors and plenty of tannic kick. It loses a touch of focus as it opens but at $10 it offers more than enough quality.",Malbec
Argentina,"A nice step up from previous vintages; this affordable Syrah sports dark-fruit aromas and muscle, while the flavors veer toward jammy blackberry. Not a tannic, spicy, complex wine; instead it's easy as pie.",Syrah
Argentina,"A better overall ride than the more oaky Koch Cabernet, this bottling, aged 13 months in barrel, is crisp and fruity, with firm tannins that clamp down on the finish. Along the way there's bright raspberry and pie cherry flavors that are fresh albeit stark.",Cabernet Sauvignon
Argentina,"Blackberry, tar and other dark notes coat the masculine bouquet, while cherry and cassis work the palate. This is a solid, big wine with structure; it's also fairly tannic and hard. Has its merits; pretty full and rugged.",Cabernet Sauvignon
Argentina,"Tight, concentrated and deep, with rubbery aromas of black fruit and earth. The palate is rich and layered, with lemony oak setting up herbal, powerful berry fruit flavors that come with hints of tea and briar. Zesty as well as rich, and well balanced. Nicely done for Salta Syrah.",Syrah
Argentina,"Winemaker Silvio Alberto, working with consultant Michel Rolland, is clearly a proponent of the bigger-is-better school, and he deserves credit for making big wines that are balanced despite being brawny. This high-end Malbec, which is very reasonably priced, blasts with menthol, prune, chocolate and cassis. It's modern and chewy, but has enough tannin, acid and grit to keep it in fine form. Drink now through 2008. Imported by Kysela Pere et Fils.",Malbec
Argentina,"This jumpy, lively Malbec is a hulk that starts with funky aromas of wet dog and bacon before settling to reveal bold blackberry and plum notes. It's saturated and solid in the mouth, where black-fruit flavors dominate. On the finish comes spice and mocha. A full-force wine that needs time in the glass to show its best.",Malbec
